# Upstream repository for each vendored module.
# Generated by scripts/resolve-module-repos.sh from the module proxy Origin,
# the go-import meta tag, and the github.com path shape. Not hand-edited.
# module	repo-url	subdir
github.com/Azure/go-ansiterm	https://github.com/Azure/go-ansiterm	
github.com/MakeNowJust/heredoc	https://github.com/makenowjust/heredoc	
github.com/NVIDIA/go-nvlib	https://github.com/NVIDIA/go-nvlib	
github.com/blang/semver/v4	https://github.com/blang/semver	
github.com/chai2010/gettext-go	https://github.com/chai2010/gettext-go	
github.com/cpuguy83/go-md2man/v2	https://github.com/cpuguy83/go-md2man	
github.com/davecgh/go-spew	https://github.com/davecgh/go-spew	
github.com/emicklei/go-restful/v3	https://github.com/emicklei/go-restful	
github.com/exponent-io/jsonpath	https://github.com/exponent-io/jsonpath	
github.com/fxamacker/cbor/v2	https://github.com/fxamacker/cbor	
github.com/go-errors/errors	https://github.com/go-errors/errors	
github.com/go-logr/logr	https://github.com/go-logr/logr	
github.com/go-openapi/jsonpointer	https://github.com/go-openapi/jsonpointer	
github.com/go-openapi/jsonreference	https://github.com/go-openapi/jsonreference	
github.com/go-openapi/swag	https://github.com/go-openapi/swag	
github.com/google/btree	https://github.com/google/btree	
github.com/google/gnostic-models	https://github.com/google/gnostic-models	
github.com/google/uuid	https://github.com/google/uuid	
github.com/inconshreveable/mousetrap	https://github.com/inconshreveable/mousetrap	
github.com/josharian/intern	https://github.com/josharian/intern	
github.com/json-iterator/go	https://github.com/json-iterator/go	
github.com/liggitt/tabwriter	https://github.com/liggitt/tabwriter	
github.com/mailru/easyjson	https://github.com/mailru/easyjson	
github.com/mitchellh/go-wordwrap	https://github.com/mitchellh/go-wordwrap	
github.com/moby/sys/mount	https://github.com/moby/sys	mount
github.com/moby/sys/mountinfo	https://github.com/moby/sys	mountinfo
github.com/moby/term	https://github.com/moby/term	
github.com/modern-go/concurrent	https://github.com/modern-go/concurrent	
github.com/modern-go/reflect2	https://github.com/modern-go/reflect2	
github.com/monochromegane/go-gitignore	https://github.com/monochromegane/go-gitignore	
github.com/munnerz/goautoneg	https://github.com/munnerz/goautoneg	
github.com/peterbourgon/diskv	https://github.com/peterbourgon/diskv	
github.com/russross/blackfriday/v2	https://github.com/russross/blackfriday	
github.com/sirupsen/logrus	https://github.com/sirupsen/logrus	
github.com/spf13/cobra	https://github.com/spf13/cobra	
github.com/spf13/pflag	https://github.com/spf13/pflag	
github.com/stretchr/testify	https://github.com/stretchr/testify	
github.com/urfave/cli/v2	https://github.com/urfave/cli	
github.com/x448/float16	https://github.com/x448/float16	
github.com/xlab/treeprint	https://github.com/xlab/treeprint	
github.com/xrash/smetrics	https://github.com/xrash/smetrics	
go.yaml.in/yaml/v2	https://github.com/yaml/go-yaml	
go.yaml.in/yaml/v3	https://github.com/yaml/go-yaml	
golang.org/x/net	https://go.googlesource.com/net	
golang.org/x/oauth2	https://go.googlesource.com/oauth2	
golang.org/x/sync	https://go.googlesource.com/sync	
golang.org/x/sys	https://go.googlesource.com/sys	
golang.org/x/term	https://go.googlesource.com/term	
golang.org/x/text	https://go.googlesource.com/text	
golang.org/x/time	https://go.googlesource.com/time	
google.golang.org/protobuf	https://go.googlesource.com/protobuf	
gopkg.in/evanphx/json-patch.v4	https://github.com/evanphx/json-patch	
gopkg.in/inf.v0	https://github.com/go-inf/inf	
gopkg.in/yaml.v3	https://github.com/go-yaml/yaml	
k8s.io/api	https://github.com/kubernetes/api	
k8s.io/apimachinery	https://github.com/kubernetes/apimachinery	
k8s.io/cli-runtime	https://github.com/kubernetes/cli-runtime	
k8s.io/client-go	https://github.com/kubernetes/client-go	
k8s.io/component-base	https://github.com/kubernetes/component-base	
k8s.io/klog/v2	https://github.com/kubernetes/klog	
k8s.io/kube-openapi	https://github.com/kubernetes/kube-openapi	
k8s.io/kubectl	https://github.com/kubernetes/kubectl	
k8s.io/utils	https://github.com/kubernetes/utils	
sigs.k8s.io/json	https://github.com/kubernetes-sigs/json	
sigs.k8s.io/kustomize/api	https://github.com/kubernetes-sigs/kustomize	api
sigs.k8s.io/kustomize/kyaml	https://github.com/kubernetes-sigs/kustomize	kyaml
sigs.k8s.io/randfill	https://github.com/kubernetes-sigs/randfill	
sigs.k8s.io/structured-merge-diff/v6	https://github.com/kubernetes-sigs/structured-merge-diff	
sigs.k8s.io/yaml	https://github.com/kubernetes-sigs/yaml	
